Name::Name,20:58:02.2207448_T::Time!!I,Area::Area!!R,Channel_1_mScarlet.Intensity Mean Value::Channel_1_mScarlet.Intensity Mean Value!!R,Channel_2_GFP.Intensity Mean Value::Channel_2_GFP.Intensity Mean Value!!R
,,"µm²",,
"Spline Contour",1,33.352764998,137.11945905334,115.69947407964
"Spline Contour",2,33.352764998,137.44327573253,116.05184072126
"Spline Contour",3,33.352764998,137.07588279489,115.92186326071
"Spline Contour",4,33.352764998,137.18332081142,116.24042073629
"Spline Contour",5,33.352764998,137.4154770849,116.31029301277
"Spline Contour",6,33.352764998,138.22163786627,116.2509391435
"Spline Contour",7,33.352764998,137.17881292262,116.40721262209
"Spline Contour",8,33.352764998,138.335837716,116.44552967694
"Spline Contour",9,33.352764998,137.97896318558,116.70773854245
"Spline Contour",10,33.352764998,138.1645379414,116.30653643877
"Spline Contour",11,33.352764998,138.15176558978,116.48459804658
"Spline Contour",12,33.352764998,138.75882794891,116.34109691961
"Spline Contour",13,33.352764998,138.20886551465,116.32306536439
"Spline Contour",14,33.352764998,138.37791134485,116.70698722765
"Spline Contour",15,33.352764998,138.65740045079,116.3305785124
"Spline Contour",16,33.352764998,138.77761081893,116.50788880541
"Spline Contour",17,33.352764998,138.30428249437,116.93613824192
"Spline Contour",18,33.352764998,138.68219383922,116.63711495117
"Spline Contour",19,33.352764998,138.62659654395,116.77986476334
"Spline Contour",20,33.352764998,139.35386927123,117.00525920361
"Spline Contour",21,33.352764998,139.18332081142,117.22990232908
"Spline Contour",22,33.352764998,139.55672426747,116.93238166792
"Spline Contour",23,33.352764998,139.06912096168,116.93238166792
"Spline Contour",24,33.352764998,139.28549962434,116.98647633358
"Spline Contour",25,33.352764998,139.24042073629,117.22839969947
"Spline Contour",26,33.352764998,139.47332832457,117.17355371901
"Spline Contour",27,33.352764998,139.62058602555,116.89481592787
"Spline Contour",28,33.352764998,139.76859504132,117.18557475582
"Spline Contour",29,33.352764998,139.70097670924,117.57175056349
"Spline Contour",30,33.352764998,139.996243426,117.47933884298
"Spline Contour",31,33.352764998,139.57475582269,117.39744552968
"Spline Contour",32,33.352764998,140.13749060857,117.36213373404
"Spline Contour",33,33.352764998,140.30728775357,117.46882043576
"Spline Contour",34,33.352764998,140.63335837716,117.88955672427
"Spline Contour",35,33.352764998,140.71525169046,117.71525169046
"Spline Contour",36,33.352764998,140.35762584523,117.51089406461
