Name::Name,20:19:48.1406481_T::Time!!I,Area::Area!!R,Channel_1_mScarlet.Intensity Mean Value::Channel_1_mScarlet.Intensity Mean Value!!R,Channel_2_GFP.Intensity Mean Value::Channel_2_GFP.Intensity Mean Value!!R
,,"µm²",,
"Spline Contour",1,29.11167835174,3429.775,706.11465517241
"Spline Contour",2,29.11167835174,3306.8534482759,678.36034482759
"Spline Contour",3,29.11167835174,3119.4439655172,643.11724137931
"Spline Contour",4,29.11167835174,3255.0198275862,660.51206896552
"Spline Contour",5,29.11167835174,3632.9655172414,796.54051724138
"Spline Contour",6,29.11167835174,3522.2077586207,851.59051724138
"Spline Contour",7,29.11167835174,3598.674137931,841.80431034483
"Spline Contour",8,29.11167835174,3601.5310344828,837.79568965517
"Spline Contour",9,29.11167835174,3472.7603448276,846.16810344828
"Spline Contour",10,29.11167835174,3295.824137931,859.41379310345
"Spline Contour",11,29.11167835174,2751.4068965517,729.36465517241
"Spline Contour",12,29.11167835174,2641.2137931035,642.91293103448
"Spline Contour",13,29.11167835174,3748.6870689655,792.475
"Spline Contour",14,29.11167835174,3977.2689655172,823.96810344828
"Spline Contour",15,29.11167835174,4541.5793103448,978.61810344828
"Spline Contour",16,29.11167835174,4731.925,1005.0086206897
"Spline Contour",17,29.11167835174,4628.4344827586,971.09827586207
"Spline Contour",18,29.111678351744,4815.6220880069,999.46419327006
"Spline Contour",19,29.111678351744,4553.7100949094,921.70664365833
"Spline Contour",20,29.111678351742,4801.9489177489,973.02424242424
"Spline Contour",21,29.111678351742,4688.6623376623,935.09437229437
"Spline Contour",22,29.111678351742,4626.4398268398,911.74285714286
"Spline Contour",23,29.111678351742,4652.7645021645,940.23896103896
"Spline Contour",24,29.111678351744,4401.1370689655,907.51034482759
"Spline Contour",25,29.111678351744,4527.0336206897,986.76206896552
"Spline Contour",26,29.111678351744,4536.7336206897,968.51896551724
"Spline Contour",27,29.111678351744,4779.3448275862,1007.3534482759
"Spline Contour",28,29.111678351744,4422.6155172414,907.05775862069
"Spline Contour",29,29.111678351739,4818.3802938634,1011.5799481418
"Spline Contour",30,29.111678351739,4129.4330164218,892.56439066551
"Spline Contour",31,29.111678351739,4254.7104580812,925.12445980985
"Spline Contour",32,29.111678351739,4643.8072601556,983.29213483146
"Spline Contour",33,29.111678351739,4744.753673293,994.99654278306
"Spline Contour",34,29.111678351739,4731.6093344857,1000.5306828004
"Spline Contour",35,29.111678351738,4397.7776816609,928.61418685121
"Spline Contour",36,29.111678351738,4568.0648788927,987.19117647059
"Spline Contour",37,29.111678351741,4360.3651202749,913.11426116839
"Spline Contour",38,29.111678351741,4341.7096219931,894.23024054983
"Spline Contour",39,29.111678351741,4195.2018900344,864.12027491409
"Spline Contour",40,29.111678351741,4182.8273195876,855.62800687285
